area,frontage,access_road,house_direction,balcony_direction,floors,bedrooms,bathrooms,legal_status,furniture_state,price,new_address,condo_complex
68.0,4.0,13.0,Tây - Nam,Tây - Bắc,,,,Sale contract,,8.5,"Văn Giang, Hưng Yên",1
40.0,4.25,3.0,Tây - Nam,Tây - Nam,5.0,4.0,4.0,Have certificate,Full,6.3,"Bắc Từ Liêm, Hà Nội",0
72.0,,10.0,,,3.0,4.0,4.0,Have certificate,,8.35,"Bình Chánh, Hồ Chí Minh",1
40.0,,6.0,,,1.0,2.0,2.0,Have certificate,Full,2.35,"Bình Tân, Hồ Chí Minh",0
20.0,,,,,3.0,2.0,2.0,Have certificate,Full,2.8,"Tân Bình, Hồ Chí Minh",0
91.0,5.0,,,,,,,Sale contract,,3.5,"Thanh Xuân, Hà Nội",0
45.0,4.0,5.0,Đông - Nam,,5.0,,,,,4.5,"Thanh Trì, Hà Nội",0
52.0,4.5,8.0,Bắc,Bắc,4.0,4.0,3.0,Have certificate,Basic,7.2,"Thủ Đức, Hồ Chí Minh",0
34.0,,,,,4.0,3.0,4.0,Have certificate,Full,2.95,"Hà Đông, Hà Nội",0
112.5,5.0,7.5,,,3.0,5.0,3.0,Have certificate,Full,4.9,"Cẩm Lệ, Đà Nẵng",0
225.0,12.0,,Đông - Nam,Đông - Nam,2.0,4.0,3.0,Sale contract,,9.0,"Bến Lức, Long An",1
34.0,4.25,3.0,Bắc,Bắc,3.0,3.0,3.0,Have certificate,Basic,2.1,"Chương Mỹ, Hà Nội",0
98.4,,12.0,Tây - Bắc,Tây - Bắc,1.0,3.0,2.0,Have certificate,Full,1.19,"Bình Chánh, Hồ Chí Minh",0
20.0,3.6,15.0,Đông - Nam,Đông - Nam,4.0,3.0,,Have certificate,Basic,3.6,"Đống Đa, Hà Nội",0
26.4,4.0,,Tây - Bắc,,3.0,2.0,1.0,,,3.85,"Quận 1, Hồ Chí Minh",0
75.0,5.0,7.5,,,4.0,,,Have certificate,,4.35,"Thanh Hóa, Thanh Hóa",1
60.0,5.0,9.0,Đông - Nam,,3.0,4.0,5.0,Have certificate,,5.6,"Quận 12, Hồ Chí Minh",0
51.0,4.2,12.0,Tây - Nam,Tây - Nam,2.0,3.0,4.0,Have certificate,Basic,6.0,"Thủ Đức, Hồ Chí Minh",0
35.0,,,,,3.0,,,Have certificate,,5.65,"Hà Đông, Hà Nội",0
34.0,8.1,,,,5.0,4.0,4.0,Have certificate,,8.0,"Hà Đông, Hà Nội",0
40.0,3.7,4.0,Đông - Nam,Đông - Nam,6.0,4.0,4.0,Have certificate,Basic,3.25,"Hoài Đức, Hà Nội",0
55.0,,,,,6.0,8.0,6.0,Have certificate,Full,7.6,"Đống Đa, Hà Nội",0
120.0,,,,,2.0,4.0,2.0,Have certificate,Basic,7.9,"Dĩ An, Bình Dương",1
56.0,,13.0,,,5.0,,,,,7.6,"Văn Giang, Hưng Yên",1
60.0,6.0,5.0,,,3.0,3.0,2.0,Have certificate,Basic,2.95,"Thuận An, Bình Dương",1
60.0,4.5,6.0,,,4.0,4.0,4.0,Have certificate,Basic,6.5,"Thủ Đức, Hồ Chí Minh",0
40.0,,,,,4.0,4.0,4.0,Have certificate,Basic,2.5,"Huyện Hoài Đức, Hà Nội",0
100.0,,20.0,Bắc,,3.0,4.0,3.0,Have certificate,Full,5.5,"Thuận An, Bình Dương",1
30.0,3.4,4.0,Tây - Nam,Tây - Nam,5.0,3.0,4.0,Have certificate,Full,4.1,"Hoài Đức, Hà Nội",0
